"symbol","date","open","high","low","close","volume"
"SH601166","2007-02-05","24.8","25.0","22.01","22.18","169694307"
"SH601166","2007-02-06","22.5","24.2","21.31","23.81","67276770"
"SH601166","2007-02-07","23.98","26.0","23.82","24.96","80021761"
"SH601166","2007-02-08","24.7","24.84","23.88","24.41","34153141"
"SH601166","2007-02-09","24.28","24.58","23.6","24.01","21550995"
"SH601166","2007-02-12","24.02","25.05","24.0","25.0","38617248"
"SH601166","2007-02-13","25.03","25.6","24.6","24.88","22609233"
"SH601166","2007-02-14","24.81","25.6","24.5","25.38","26773214"
"SH601166","2007-02-15","25.75","25.95","25.22","25.61","27403567"
"SH601166","2007-02-16","25.81","28.08","25.56","27.41","51259764"
"SH601166","2007-02-26","26.9","27.18","26.41","26.79","27063314"
"SH601166","2007-02-27","26.81","27.19","24.11","24.11","30459420"
"SH601166","2007-02-28","24.08","24.95","23.95","24.78","19861815"
"SH601166","2007-03-01","24.81","24.88","23.41","23.62","19938190"
"SH601166","2007-03-02","23.5","24.2","23.46","23.86","8673536"
"SH601166","2007-03-05","23.78","24.18","22.9","23.36","14546791"
"SH601166","2007-03-06","23.4","24.95","23.25","24.39","22920011"
"SH601166","2007-03-07","24.3","24.85","24.1","24.39","19715033"
"SH601166","2007-03-08","24.4","24.74","24.11","24.59","11481784"
"SH601166","2007-03-09","24.63","25.15","24.38","24.83","13157171"
"SH601166","2007-03-12","25.0","25.1","24.38","24.54","9146184"
"SH601166","2007-03-13","24.56","24.8","24.28","24.48","8628330"
"SH601166","2007-03-14","24.0","24.05","23.53","23.74","10559070"
"SH601166","2007-03-15","23.89","24.26","23.82","24.11","8139910"
"SH601166","2007-03-16","24.16","24.38","23.48","23.61","12297361"
"SH601166","2007-03-19","23.32","25.55","23.26","24.88","28203365"
"SH601166","2007-03-20","24.9","24.94","24.3","24.44","13080882"
"SH601166","2007-03-21","24.68","25.08","24.5","24.78","11400163"
"SH601166","2007-03-22","25.0","25.15","24.58","24.82","18256898"
"SH601166","2007-03-23","24.82","25.16","24.5","24.91","11346107"
"SH601166","2007-03-26","24.95","25.45","24.68","25.31","14872800"
"SH601166","2007-03-27","25.44","25.44","24.88","25.19","14768288"
"SH601166","2007-03-28","25.8","26.3","24.8","25.97","35072664"
"SH601166","2007-03-29","26.14","28.57","26.0","27.83","75320671"
"SH601166","2007-03-30","27.47","27.65","26.9","27.2","23267144"
"SH601166","2007-04-02","27.3","28.28","27.07","27.94","17253472"
"SH601166","2007-04-03","28.0","28.45","27.63","27.89","15628375"
"SH601166","2007-04-04","28.0","29.6","27.89","28.92","31267916"
"SH601166","2007-04-05","28.9","29.5","28.51","29.18","15303889"
"SH601166","2007-04-06","28.72","29.18","28.1","28.22","15293632"
"SH601166","2007-04-09","28.18","30.15","27.9","29.83","21322735"
"SH601166","2007-04-10","29.85","31.61","29.55","31.51","25680854"
"SH601166","2007-04-11","31.5","33.0","31.02","31.57","18402553"
"SH601166","2007-04-12","31.51","33.2","31.5","32.27","10645740"
"SH601166","2007-04-13","32.3","33.2","32.0","32.02","11740591"
"SH601166","2007-04-16","32.18","33.2","31.86","33.06","12357902"
"SH601166","2007-04-17","33.15","33.35","30.32","32.28","12713090"
"SH601166","2007-04-18","32.0","32.08","30.6","31.31","10592043"
"SH601166","2007-04-19","31.25","31.9","29.13","29.92","19904565"
"SH601166","2007-04-20","30.1","32.6","30.1","32.03","11817468"
"SH601166","2007-04-23","32.61","32.9","31.81","32.38","12104542"
"SH601166","2007-04-24","32.3","32.3","30.95","31.28","14018592"
"SH601166","2007-04-25","31.15","33.11","30.85","32.04","18396160"
"SH601166","2007-04-26","32.15","32.44","31.1","32.39","12499880"
"SH601166","2007-04-27","32.38","32.47","31.1","31.58","7483511"
"SH601166","2007-05-08","31.5","31.9","30.59","30.73","39821892"
"SH601166","2007-05-09","30.88","31.99","30.68","31.71","34421314"
"SH601166","2007-05-10","31.75","33.24","31.16","31.53","27539044"
"SH601166","2007-05-11","31.2","31.2","29.42","30.4","45372973"
"SH601166","2007-05-14","30.3","31.17","30.0","30.17","38622568"
"SH601166","2007-05-15","30.49","30.6","28.91","29.05","31903998"
"SH601166","2007-05-16","29.19","29.63","28.98","29.6","22976968"
"SH601166","2007-05-17","29.82","30.05","29.4","29.95","22167598"
"SH601166","2007-05-18","30.0","30.0","29.41","29.54","16635207"
"SH601166","2007-05-21","28.58","29.5","28.5","29.45","28185610"
"SH601166","2007-05-22","29.39","30.18","29.08","29.38","16644143"
"SH601166","2007-05-23","29.6","29.98","28.95","29.5","17602764"
"SH601166","2007-05-24","29.75","30.94","29.58","30.21","31947749"
"SH601166","2007-05-25","29.9","31.1","29.7","30.35","22943672"
"SH601166","2007-05-28","30.45","31.08","30.33","30.35","16624357"
"SH601166","2007-05-29","30.45","31.0","30.11","30.49","19036614"
"SH601166","2007-05-30","29.2","30.1","28.01","28.29","28718715"
"SH601166","2007-05-31","28.98","30.6","28.0","29.72","37760755"
"SH601166","2007-06-01","29.69","31.23","29.5","29.91","37179031"
"SH601166","2007-06-04","30.35","30.56","28.16","28.43","25052596"
"SH601166","2007-06-05","27.99","29.01","25.65","28.37","22697633"
"SH601166","2007-06-06","28.5","28.65","27.4","27.66","19986827"
