Date,Open,High,Low,Close,Volume,Adj Close
2010-10-08,13.09,13.47,12.86,13.36,129016300,8.77
2010-10-07,12.95,12.95,12.95,12.95,000,8.50
2010-10-06,12.95,12.95,12.95,12.95,000,8.50
2010-10-05,12.95,12.95,12.95,12.95,000,8.50
2010-10-04,12.95,12.95,12.95,12.95,000,8.50
2010-10-01,12.95,12.95,12.95,12.95,000,8.50
2010-09-30,12.37,12.99,12.32,12.96,99346700,8.50
2010-09-29,12.20,12.69,12.12,12.49,103891400,8.20
2010-09-28,12.92,12.92,12.57,12.58,83184500,8.25
2010-09-27,13.00,13.02,12.89,12.93,56164800,8.48
2010-09-24,12.94,12.94,12.94,12.94,000,8.49
2010-09-23,12.94,12.94,12.94,12.94,000,8.49
2010-09-22,12.94,12.94,12.94,12.94,000,8.49
2010-09-21,13.00,13.10,12.87,12.94,43772900,8.49
2010-09-20,12.96,12.96,12.96,12.96,000,8.50
2010-09-17,13.09,13.13,12.90,12.96,56264800,8.50
2010-09-16,13.30,13.30,12.90,13.02,95470800,8.54
2010-09-15,13.53,13.53,13.30,13.33,58319400,8.75
2010-09-14,13.58,13.67,13.41,13.50,80150000,8.86
2010-09-13,13.45,13.65,13.30,13.49,94136000,8.85
2010-09-10,13.55,13.61,13.30,13.51,69433700,8.86
2010-09-09,13.89,13.90,13.45,13.54,144905300,8.88
2010-09-08,14.05,14.07,13.80,13.89,112019000,9.11
2010-09-07,14.25,14.34,14.05,14.16,75706500,9.29
2010-09-06,14.01,14.26,13.88,14.23,135956500,9.34
2010-09-03,14.07,14.07,13.83,13.95,80462500,9.15
2010-09-02,14.28,14.28,13.95,14.07,88002300,9.23
2010-09-01,14.07,14.34,13.79,13.99,117623000,9.18
2010-08-31,14.04,14.13,13.92,13.99,66706900,9.18
2010-08-30,14.06,14.20,13.97,14.10,67684700,9.25
2010-08-27,13.99,14.13,13.88,13.98,46343600,9.17
2010-08-26,14.16,14.19,13.93,13.97,38615400,9.17
2010-08-25,14.29,14.33,13.98,14.03,64348900,9.21
2010-08-24,14.32,14.54,14.15,14.38,62733400,9.44
2010-08-23,14.20,14.58,14.20,14.34,74782700,9.41
2010-08-20,14.30,14.55,14.16,14.19,81226800,9.31
2010-08-19,14.30,14.56,14.13,14.45,115577200,9.48
2010-08-18,14.42,14.59,14.25,14.30,94207800,9.38
2010-08-17,14.31,14.47,14.18,14.41,75764100,9.45
2010-08-16,13.91,14.38,13.85,14.30,91387500,9.38
2010-08-13,13.93,14.02,13.70,13.99,84659800,9.18
2010-08-12,13.98,14.12,13.82,13.89,67720600,9.11
2010-08-11,14.05,14.29,14.01,14.12,52241700,9.26
2010-08-10,14.62,14.69,14.03,14.07,92215300,9.23
2010-08-09,14.65,14.80,14.50,14.60,85563100,9.58
2010-08-06,14.50,14.74,14.30,14.69,83075500,9.64
2010-08-05,14.75,14.75,14.42,14.53,83799400,9.53
2010-08-04,14.90,14.93,14.54,14.79,97850900,9.70
2010-08-03,15.31,15.34,14.90,14.91,81711000,9.78
2010-08-02,14.91,15.30,14.87,15.30,85047300,10.04
2010-07-30,15.00,15.05,14.86,14.98,43008000,9.83
2010-07-29,15.10,15.22,14.92,15.08,90544200,9.89
2010-07-28,14.70,15.14,14.58,15.07,111191900,9.89
2010-07-27,14.81,14.81,14.56,14.61,67734300,9.59
2010-07-26,14.92,15.00,14.76,14.89,52480400,9.77
2010-07-23,14.80,15.15,14.73,14.92,99838900,9.79
2010-07-22,14.59,14.85,14.49,14.80,73462100,9.71
2010-07-21,14.68,14.73,14.51,14.65,58373200,9.61
2010-07-20,14.59,14.96,14.50,14.65,102794500,9.61
2010-07-19,14.07,14.63,13.98,14.53,85421200,9.53
2010-07-16,14.00,14.23,13.90,14.15,53160000,9.28
2010-07-15,14.41,14.62,14.07,14.10,61698400,9.25
2010-07-14,14.22,14.64,14.22,14.41,78472300,9.45
2010-07-13,14.21,14.37,14.06,14.17,58387800,9.30
2010-07-12,14.23,14.66,14.15,14.43,75788900,9.47
2010-07-09,13.81,14.49,13.69,14.23,99913300,9.34
2010-07-08,13.88,14.06,13.73,13.79,58632300,9.05
2010-07-07,13.74,13.83,13.60,13.76,44170500,9.03
