Date,Open,High,Low,Close,Volume,Adj Close
2010-10-08,13.09,13.47,12.86,13.36,129016300,8.77
2010-10-07,12.95,12.95,12.95,12.95,000,8.50
2010-10-06,12.95,12.95,12.95,12.95,000,8.50
2010-10-05,12.95,12.95,12.95,12.95,000,8.50
2010-10-04,12.95,12.95,12.95,12.95,000,8.50
2010-10-01,12.95,12.95,12.95,12.95,000,8.50
2010-09-30,12.37,12.99,12.32,12.96,99346700,8.50
2010-09-29,12.20,12.69,12.12,12.49,103891400,8.20
2010-09-28,12.92,12.92,12.57,12.58,83184500,8.25
2010-09-27,13.00,13.02,12.89,12.93,56164800,8.48
2010-09-24,12.94,12.94,12.94,12.94,000,8.49
2010-09-23,12.94,12.94,12.94,12.94,000,8.49
2010-09-22,12.94,12.94,12.94,12.94,000,8.49
2010-09-21,13.00,13.10,12.87,12.94,43772900,8.49
2010-09-20,12.96,12.96,12.96,12.96,000,8.50
2010-09-17,13.09,13.13,12.90,12.96,56264800,8.50
2010-09-16,13.30,13.30,12.90,13.02,95470800,8.54
2010-09-15,13.53,13.53,13.30,13.33,58319400,8.75
2010-09-14,13.58,13.67,13.41,13.50,80150000,8.86
2010-09-13,13.45,13.65,13.30,13.49,94136000,8.85
2010-09-10,13.55,13.61,13.30,13.51,69433700,8.86
2010-09-09,13.89,13.90,13.45,13.54,144905300,8.88
2010-09-08,14.05,14.07,13.80,13.89,112019000,9.11
2010-09-07,14.25,14.34,14.05,14.16,75706500,9.29
2010-09-06,14.01,14.26,13.88,14.23,135956500,9.34
2010-09-03,14.07,14.07,13.83,13.95,80462500,9.15
2010-09-02,14.28,14.28,13.95,14.07,88002300,9.23
2010-09-01,14.07,14.34,13.79,13.99,117623000,9.18
2010-08-31,14.04,14.13,13.92,13.99,66706900,9.18
2010-08-30,14.06,14.20,13.97,14.10,67684700,9.25
