公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地 区,省 份,城 市,所属行业,公司网址
000001,平安银行,平安银行股份有限公司,"Ping An Bank Co., Ltd.",广东省深圳市罗湖区深南东路5047号,1,平安银行,1991/4/3,"11,424,894,787","6,685,515,941",,,,0,0,华南,广东,深圳市,J 金融业,www.bank.pingan.com
000002,万 科Ａ,万科企业股份有限公司,"CHINA VANKE CO., LTD",广东省深圳市盐田区大梅沙环梅路33号万科中心,2,万 科Ａ,1991/1/29,"9,700,265,351","9,668,438,740",,,,0,0,华南,广东,深圳市,K 房地产,www.vanke.com
000004,国农科技,深圳中国农大科技股份有限公司,"SHENZHEN CAU TECHNOLOGY CO., LTD",广东省深圳市福田区商报路奥林匹克大厦6楼D-E,4,国农科技,1990/12/1,"83,976,684","83,817,017",,,,0,0,华南,广东,深圳市,C 制造业,www.sz000004.cn
000005,世纪星源,深圳世纪星源股份有限公司,SHENZHEN FOUNTAIN CORPORATION,广东省深圳市人民南路发展中心大厦13层,5,世纪星源,1990/12/10,"914,333,607","912,328,931",,,,0,0,华南,广东,深圳市,K 房地产,www.fountain.com.cn
000006,深振业Ａ,深圳市振业(集团)股份有限公司,"SHENZHEN ZHENYE(GROUP) CO.,LTD",广东省深圳市罗湖区宝安南路2014号振业大厦B座11-17层,6,深振业Ａ,1992/4/27,"1,349,995,046","1,337,631,652",,,,0,0,华南,广东,深圳市,K 房地产,www.zhenye.com
000007,零七股份,深圳市零七股份有限公司,"SHENZHEN Zero-Seven CO., LTD",广东省深圳市华强北路1058号现代之窗大厦A座25层,7,零七股份,1992/4/13,"230,965,363","205,624,479",,,,0,0,华南,广东,深圳市,H 住宿餐饮,
000008,宝利来,广东宝利来投资股份有限公司,BAOLILAI INVESTMENT CO.，LTD. GUANGDONG,广东省深圳市南山区东滨路4287号管理楼二楼,8,宝利来,1992/5/7,"303,601,640","147,199,578",,,,0,0,华南,广东,深圳市,H 住宿餐饮,
000009,中国宝安,中国宝安集团股份有限公司,"CHINA BAOAN GROUP CO.,LTD",广东省深圳市笋岗东路1002号宝安广场A座28-29层,9,中国宝安,1991/6/25,"1,505,235,729","1,488,794,659",,,,0,0,华南,广东,深圳市,S 综合,www.chinabaoan.com
000010,深华新,北京深华新股份有限公司,"BEIJING SHENHUAXIN CO., LTD",北京市延庆县百泉街10号2栋349室,10,深华新,1995/10/27,"588,069,788","270,399,776",,,,0,0,华北,北京,北京市,C 制造业,
000011,深物业A,深圳市物业发展(集团)股份有限公司,"SHENZHEN PROPERTIES & RESOURCES DEVELOPMENT (GROUP)CO., LTD",广东省深圳市人民南路国贸大厦39、42层,11,深物业A,1992/3/30,"528,373,849","175,831,365",200011,深物业B,1992/3/30,"67,605,243","67,605,243",华南,广东,深圳市,K 房地产,www.szwuye.com.cn
000012,南 玻Ａ,中国南玻集团股份有限公司,"CSG HOLDING CO.,LTD.",广东省深圳市蛇口工业六路一号南玻大厦,12,南 玻Ａ,1992/2/28,"1,312,751,568","1,302,758,385",200012,南 玻Ｂ,1992/2/28,"762,583,992","762,506,742",华南,广东,深圳市,C 制造业,www.csgholding.com
000014,沙河股份,沙河实业股份有限公司,"SHAHE INDUSTRIAL CO.,LTD.",广东省深圳市南山区白石路2222号沙河世纪楼,14,沙河股份,1992/6/2,"201,705,187","201,701,974",,,,0,0,华南,广东,深圳市,K 房地产,www.shahe.cn
000016,深康佳Ａ,康佳集团股份有限公司,"KONKA GROUP CO.,LTD",广东省深圳市南山区华侨城,16,深康佳Ａ,1992/3/27,"798,296,900","599,428,950",200016,深康佳Ｂ,1992/3/27,"405,675,804","405,675,804",华南,广东,深圳市,C 制造业,www.konka.com
000017,深中华A,深圳中华自行车(集团)股份有限公司,"SHENZHEN CHINA BICYCLE COMPANY(HOLDINGS) CO.,LTD",广东省深圳市布心路三零零八号,17,深中华A,1992/3/31,"302,984,965","302,963,614",200017,深中华B,1992/3/31,"248,362,982","248,359,762",华南,广东,深圳市,C 制造业,www.cbc.com.cn
000018,中冠A,深圳中冠纺织印染股份有限公司,"SHENZHEN VICTOR ONWARD TEXTILE INDUSTRIAL CO.,LTD",广东省深圳市龙岗区葵涌镇白石岗葵鹏路26号,18,中冠A,1992/6/16,"99,720,453","99,579,574",200018,中冠B,1992/6/16,"69,421,903","69,421,903",华南,广东,深圳市,C 制造业,www.udcgroup.com
000019,深深宝Ａ,深圳市深宝实业股份有限公司,"SHENZHEN SHENBAO INDUSTRIAL CO.,LTD",广东省深圳市福田区竹子林四路紫竹七道26号教育科技大厦塔楼20层南半层,19,深深宝Ａ,1992/10/12,"269,716,984","252,066,132",200019,深深宝Ｂ,1992/10/12,"31,363,200","31,363,200",华南,广东,深圳市,C 制造业,www.sbsy.com.cn
000020,深华发Ａ,深圳中恒华发股份有限公司,"SHENZHEN HUAFA ELECTRONICS CO., LTD.",广东省深圳市福田区华发北路411幢,20,深华发Ａ,1992/4/28,"181,165,391","64,656,289",200020,深华发Ｂ,1992/4/28,"101,995,836","101,995,836",华南,广东,深圳市,C 制造业,www.hwafa.com.cn
000021,长城开发,深圳长城开发科技股份有限公司,"SHENZHEN KAIFA TECHNOLOGY CO., LTD",广东省深圳市福田区彩田路7006号,21,长城开发,1994/2/2,"1,471,259,363","1,317,832,780",,,,0,0,华南,广东,深圳市,C 制造业,www.kaifa.com.cn
